month,car class,mdbf
2018-11,R46,66791
2018-11,R62,343344
2018-11,R62A,100139
2018-11,R68,80764
2018-11,R68A,103476
2018-10,FLEET,122320
2018-10,R142,178536
2018-10,R142A,72208
2018-10,R143,102927
2018-10,R160,253749
2018-10,R188 - CONVERSION,175779
2018-10,R188 - NEW,528903
2018-10,R32,33552
2018-10,R42,28931
2018-10,R46,68147
2018-10,R62,310839
2018-10,R62A,102278
2018-10,R68,85875
2018-10,R68A,106853
2018-09,FLEET,122090
2018-09,R142,180620
2018-09,R142A,68404
2018-09,R143,106832
2018-09,R160,249625
2018-09,R188 - CONVERSION,171072
2018-09,R188 - NEW,585858
2018-09,R32,32293
2018-09,R42,28151
2018-09,R46,69602
2018-09,R62,288774
2018-09,R62A,102900
2018-09,R68,86669
2018-09,R68A,113201
2018-08,FLEET,122334
2018-08,R142,180568
2018-08,R142A,68299
2018-08,R143,103421
2018-08,R160,249073
2018-08,R188 - CONVERSION,175331
2018-08,R188 - NEW,405597
2018-08,R32,31181
2018-08,R42,30879
2018-08,R46,70496
2018-08,R62,271912
2018-08,R62A,104233
2018-08,R68,87883
2018-08,R68A,107792
2018-07,FLEET,120817
2018-07,R142,172150
2018-07,R142A,64663
2018-07,R143,101291
2018-07,R160,244999
2018-07,R188 - CONVERSION,169290
2018-07,R188 - NEW,374926
2018-07,R32,31355
2018-07,R42,33248
2018-07,R46,71514
2018-07,R62,257187
2018-07,R62A,100447
2018-07,R68,91984
2018-07,R68A,100795
2018-06,FLEET,119908
2018-06,R142,162672
2018-06,R142A,63685
2018-06,R143,101224
2018-06,R160,248776
2018-06,R188 - CONVERSION,163229
2018-06,R188 - NEW,404037
2018-06,R32,31114
2018-06,R42,34217
2018-06,R46,71357
2018-06,R62,222168
2018-06,R62A,100475
2018-06,R68,95438
2018-06,R68A,97096
2018-05,FLEET,119949
2018-05,R142,161074
2018-05,R142A,62622
2018-05,R143,97235
2018-05,R160,246897
2018-05,R188 - CONVERSION,164116
2018-05,R188 - NEW,441333
2018-05,R32,31560
2018-05,R42,35216
2018-05,R46,72700
2018-05,R62,199957
2018-05,R62A,102773
2018-05,R68,95531
2018-05,R68A,94980
2018-04,FLEET,120835
2018-04,R142,163159
2018-04,R142A,62756
2018-04,R143,93418
2018-04,R160,252038
2018-04,R188 - CONVERSION,172912
2018-04,R188 - NEW,443745
2018-04,R32,31503
2018-04,R42,36727
2018-04,R46,71787
2018-04,R62,201314
2018-04,R62A,103086
2018-04,R68,98704
2018-04,R68A,101231
2018-03,FLEET,120347
2018-03,R142,163186
2018-03,R142A,59170
2018-03,R143,95365
2018-03,R160,252639
2018-03,R188 - CONVERSION,165100
2018-03,R188 - NEW,411665
2018-03,R32,32383
2018-03,R42,38065
2018-03,R46,70538
2018-03,R62,201380
2018-03,R62A,103858
2018-03,R68,99325
2018-03,R68A,95994
2018-02,FLEET,119622
2018-02,R142,162916
2018-02,R142A,58927
2018-02,R143,96623
2018-02,R160,248310
2018-02,R188 - CONVERSION,158277
2018-02,R188 - NEW,488654
2018-02,R32,32750
2018-02,R42,35467
2018-02,R46,71398
2018-02,R62,193784
2018-02,R62A,100573
2018-02,R68,98682
2018-02,R68A,94046
2018-01,FLEET,119469
2018-01,R142,166269
2018-01,R142A,55571
2018-01,R143,93179
2018-01,R160,247157
2018-01,R188 - CONVERSION,154591
2018-01,R188 - NEW,486053
2018-01,R32,33108
2018-01,R42,36635
2018-01,R46,71633
2018-01,R62,195437
2018-01,R62A,98796
2018-01,R68,100291
2018-01,R68A,95307
2017-12,FLEET,121220
2017-12,R142,163012
2017-12,R142A,55988
2017-12,R143,90858
2017-12,R160,241866
2017-12,R188 - CONVERSION,165167
2017-12,R188 - NEW,444913
2017-12,R32,34391
2017-12,R42,41192
2017-12,R46,73212
2017-12,R62,189218
2017-12,R62A,101963
2017-12,R68,106133
2017-12,R68A,96584
2017-11,FLEET,119741
2017-11,R142,161938
2017-11,R142A,53606
2017-11,R143,89418
2017-11,R160,234090
2017-11,R188 - CONVERSION,175306
2017-11,R188 - NEW,445561
2017-11,R32,32724
2017-11,R42,40466
2017-11,R46,74145
2017-11,R62,201495
2017-11,R62A,98769
2017-11,R68,111082
2017-11,R68A,91229
2017-10,FLEET,119332
2017-10,R142,154801
2017-10,R142A,53863
2017-10,R143,80016
2017-10,R160,232513
2017-10,R188 - CONVERSION,182531
2017-10,R188 - NEW,443593
2017-10,R32,36013
2017-10,R42,39101
2017-10,R46,73553
2017-10,R62,203473
2017-10,R62A,97382
2017-10,R68,114513
2017-10,R68A,97128
2017-09,FLEET,118699
2017-09,R142,151053
2017-09,R142A,52083
2017-09,R143,77921
2017-09,R160,233807
2017-09,R188 - CONVERSION,184097
2017-09,R188 - NEW,443704
2017-09,R32,36193
2017-09,R42,42729
2017-09,R46,75644
2017-09,R62,207805
2017-09,R62A,93226
2017-09,R68,115519
2017-09,R68A,94297
2017-08,FLEET,117414
2017-08,R142,148092
2017-08,R142A,50716
2017-08,R143,68193
2017-08,R160,237579
2017-08,R188 - CONVERSION,184225
2017-08,R188 - NEW,445786
2017-08,R32,38186
2017-08,R42,42754
2017-08,R46,75616
2017-08,R62,219310
2017-08,R62A,89598
2017-08,R68,116593
2017-08,R68A,86767
2017-07,FLEET,115843
2017-07,R142,144345
2017-07,R142A,50766
2017-07,R143,62493
2017-07,R160,232102
2017-07,R188 - CONVERSION,177913
2017-07,R188 - NEW,597590
2017-07,R32,37601
2017-07,R42,44306
2017-07,R46,76852
2017-07,R62,211520
2017-07,R62A,85425
2017-07,R68,121774
2017-07,R68A,93080
2017-06,FLEET,115760
2017-06,R142,146430
2017-06,R142A,50566
2017-06,R143,61608
2017-06,R160,232733
2017-06,R188 - CONVERSION,184085
2017-06,R188 - NEW,771153
2017-06,R32,35918
2017-06,R42,39473
2017-06,R46,77127
2017-06,R62,235188
2017-06,R62A,84528
2017-06,R68,120521
2017-06,R68A,96030
2017-05,FLEET,115145
2017-05,R142,146333
2017-05,R142A,49669
2017-05,R143,60234
2017-05,R160,237584
2017-05,R188 - CONVERSION,171771
2017-05,R188 - NEW,770462
2017-05,R32,34371
2017-05,R42,40698
2017-05,R46,76281
2017-05,R62,250631
2017-05,R62A,84207
2017-05,R68,121448
2017-05,R68A,97086
2017-04,FLEET,115527
2017-04,R142,145836
2017-04,R142A,49867
2017-04,R143,58761
2017-04,R160,235168
2017-04,R188 - CONVERSION,173747
2017-04,R188 - NEW,669480
2017-04,R32,34377
2017-04,R42,39307
2017-04,R46,78922
2017-04,R62,258252
2017-04,R62A,85378
2017-04,R68,119323
2017-04,R68A,96464
2017-03,FLEET,115154
2017-03,R142,148906
2017-03,R142A,47709
2017-03,R143,58348
2017-03,R160,236287
2017-03,R188 - CONVERSION,192843
2017-03,R188 - NEW,760984
2017-03,R32,33527
2017-03,R42,41683
2017-03,R46,77311
2017-03,R62,239386
2017-03,R62A,84276
2017-03,R68,121473
2017-03,R68A,102830
2017-02,FLEET,114261
2017-02,R142,148382
2017-02,R142A,47997
2017-02,R143,56254
2017-02,R160,245721
2017-02,R188 - CONVERSION,201532
2017-02,R188 - NEW,591207
2017-02,R32,33217
2017-02,R42,42094
2017-02,R46,73917
2017-02,R62,216306
2017-02,R62A,84988
2017-02,R68,120838
2017-02,R68A,99385
2017-01,FLEET,113022
2017-01,R142,145002
2017-01,R142A,49145
2017-01,R143,54814
2017-01,R160,242160
2017-01,R188 - CONVERSION,193909
2017-01,R188 - NEW,478981
2017-01,R32,33331
2017-01,R42,43444
2017-01,R46,73642
2017-01,R62,205635
2017-01,R62A,85925
2017-01,R68,114085
2017-01,R68A,102130
2016-12,FLEET,112208
2016-12,R142,143910
2016-12,R142A,50260
2016-12,R143,53805
2016-12,R160,253300
2016-12,R188 - CONVERSION,179596
2016-12,R188 - NEW,476693
2016-12,R32,33268
2016-12,R42,35260
2016-12,R46,73696
2016-12,R62,198041
2016-12,R62A,82447
2016-12,R68,117531
2016-12,R68A,98997
2016-11,FLEET,113179
2016-11,R142,142536
2016-11,R142A,50704
2016-11,R143,53651
2016-11,R160,268080
2016-11,R188 - CONVERSION,184098
2016-11,R188 - NEW,521186
2016-11,R32,32327
2016-11,R42,36294
2016-11,R46,75503
2016-11,R62,189436
2016-11,R62A,82530
2016-11,R68,117673
2016-11,R68A,101337
2016-10,FLEET,113363
2016-10,R142,141529
2016-10,R142A,49762
2016-10,R143,57902
2016-10,R160,277667
2016-10,R188 - CONVERSION,170908
2016-10,R188 - NEW,520801
2016-10,R32,31843
2016-10,R42,33562
2016-10,R46,76836
2016-10,R62,181061
2016-10,R62A,82900
2016-10,R68,116334
2016-10,R68A,95093
2016-09,FLEET,113961
2016-09,R142,139584
2016-09,R142A,51275
2016-09,R143,56423
2016-09,R160,286655
2016-09,R188 - CONVERSION,163346
2016-09,R188 - NEW,581452
2016-09,R32,32377
2016-09,R42,32788
2016-09,R46,78057
2016-09,R62,176174
2016-09,R62A,83438
2016-09,R68,114670
2016-09,R68A,101595
2016-08,FLEET,114739
2016-08,R142,140112
2016-08,R142A,52689
2016-08,R143,60738
