ServiceDate,DelayCategory,NoofTrains
2/1/2019,Engineering (Scheduled),28
2/1/2019,Engineering (Unscheduled),242
2/1/2019,Maintenance of Equipment,115
2/1/2019,Other,62
2/1/2019,Police,526
2/1/2019,Special Events,8
2/1/2019,Transportation,16
2/1/2019,Weather & Environmental,75
1/1/2019,3rd Party Operations,142
1/1/2019,Capital Projects,19
1/1/2019,Customers,254
1/1/2019,Engineering (Scheduled),36
1/1/2019,Engineering (Unscheduled),457
1/1/2019,Maintenance of Equipment,159
1/1/2019,Other,90
1/1/2019,Police,141
1/1/2019,Special Events,12
1/1/2019,Transportation,31
1/1/2019,Weather & Environmental,192
12/1/2018,3rd Party Operations,52
12/1/2018,Capital Projects,30
12/1/2018,Customers,107
12/1/2018,Engineering (Scheduled),55
12/1/2018,Engineering (Unscheduled),255
12/1/2018,Maintenance of Equipment,153
12/1/2018,Other,110
12/1/2018,Police,128
12/1/2018,Special Events,329
12/1/2018,Transportation,27
12/1/2018,Weather & Environmental,108
11/1/2018,3rd Party Operations,389
11/1/2018,Capital Projects,41
11/1/2018,Customers,403
11/1/2018,Engineering (Scheduled),37
11/1/2018,Engineering (Unscheduled),244
11/1/2018,Maintenance of Equipment,161
11/1/2018,Other,214
11/1/2018,Police,127
11/1/2018,Special Events,116
11/1/2018,Transportation,32
11/1/2018,Weather & Environmental,903
10/1/2018,3rd Party Operations,139
10/1/2018,Customers,339
10/1/2018,Engineering (Scheduled),92
10/1/2018,Engineering (Unscheduled),300
10/1/2018,Maintenance of Equipment,172
10/1/2018,Other,76
10/1/2018,Police,76
10/1/2018,Special Events,7
10/1/2018,Transportation,61
10/1/2018,Weather & Environmental,105
10/1/2018,Capital Projects,75
9/1/2018,3rd Party Operations,55
9/1/2018,Capital Projects,243
9/1/2018,Customers,353
9/1/2018,Engineering (Scheduled),41
9/1/2018,Engineering (Unscheduled),152
9/1/2018,Maintenance of Equipment,194
9/1/2018,Other,123
9/1/2018,Police,131
9/1/2018,Special Events,126
9/1/2018,Transportation,19
9/1/2018,Weather & Environmental,97
8/1/2018,3rd Party Operations,59
8/1/2018,Capital Projects,361
8/1/2018,Customers,515
8/1/2018,Engineering (Scheduled),18
8/1/2018,Engineering (Unscheduled),349
8/1/2018,Maintenance of Equipment,237
8/1/2018,Other,401
8/1/2018,Police,238
8/1/2018,Special Events,171
8/1/2018,Transportation,36
8/1/2018,Weather & Environmental,314
7/1/2018,3rd Party Operations,225
7/1/2018,Capital Projects,332
7/1/2018,Customers,546
7/1/2018,Engineering (Scheduled),52
7/1/2018,Engineering (Unscheduled),301
7/1/2018,Maintenance of Equipment,181
7/1/2018,Other,158
7/1/2018,Police,284
7/1/2018,Special Events,158
7/1/2018,Transportation,63
7/1/2018,Weather & Environmental,37
6/1/2018,3rd Party Operations,66
6/1/2018,Capital Projects,200
6/1/2018,Customers,279
6/1/2018,Engineering (Scheduled),40
6/1/2018,Engineering (Unscheduled),241
6/1/2018,Maintenance of Equipment,228
6/1/2018,Other,152
6/1/2018,Police,99
6/1/2018,Special Events,224
6/1/2018,Transportation,34
6/1/2018,Weather & Environmental,37
5/1/2018,3rd Party Operations,167
5/1/2018,Capital Projects,162
5/1/2018,Customers,288
5/1/2018,Engineering (Scheduled),45
5/1/2018,Engineering (Unscheduled),226
5/1/2018,Maintenance of Equipment,209
5/1/2018,Other,191
5/1/2018,Police,133
5/1/2018,Special Events,98
5/1/2018,Transportation,83
5/1/2018,Weather & Environmental,25
4/1/2018,3rd Party Operations,89
4/1/2018,Capital Projects,99
4/1/2018,Customers,302
4/1/2018,Engineering (Scheduled),31
4/1/2018,Engineering (Unscheduled),150
4/1/2018,Maintenance of Equipment,206
4/1/2018,Other,59
4/1/2018,Police,94
4/1/2018,Special Events,54
4/1/2018,Transportation,25
4/1/2018,Weather & Environmental,91
3/1/2018,Other,275
3/1/2018,Police,258
3/1/2018,Special Events,68
3/1/2018,3rd Party Operations,168
3/1/2018,Capital Projects,59
3/1/2018,Customers,341
3/1/2018,Engineering (Scheduled),21
3/1/2018,Engineering (Unscheduled),99
3/1/2018,Maintenance of Equipment,155
3/1/2018,Weather & Environmental,996
3/1/2018,Transportation,46
2/1/2018,Transportation,14
2/1/2018,Weather & Environmental,59
2/1/2018,Maintenance of Equipment,187
2/1/2018,Other,79
2/1/2018,Engineering (Scheduled),11
2/1/2018,Engineering (Unscheduled),177
2/1/2018,Capital Projects,82
2/1/2018,Customers,275
2/1/2018,3rd Party Operations,80
2/1/2018,Police,296
2/1/2018,Special Events,12
1/1/2018,Transportation,41
1/1/2018,Special Events,38
1/1/2018,Police,181
1/1/2018,3rd Party Operations,453
1/1/2018,Capital Projects,43
1/1/2018,Customers,384
1/1/2018,Engineering (Unscheduled),442
1/1/2018,Engineering (Scheduled),16
1/1/2018,Maintenance of Equipment,204
1/1/2018,Other,190
1/1/2018,Weather & Environmental,1341
12/1/2017,Weather & Environmental,621
12/1/2017,3rd Party Operations,143
12/1/2017,Capital Projects,31
12/1/2017,Customers,142
12/1/2017,Engineering (Scheduled),22
12/1/2017,Engineering (Unscheduled),422
12/1/2017,Maintenance of Equipment,120
12/1/2017,Other,168
12/1/2017,Police,153
12/1/2017,Special Events,297
12/1/2017,Transportation,22
11/1/2017,Special Events,89
11/1/2017,Police,236
11/1/2017,Other,107
11/1/2017,Maintenance of Equipment,127
11/1/2017,Engineering (Unscheduled),249
11/1/2017,Engineering (Scheduled),24
11/1/2017,Customers,403
11/1/2017,Capital Projects,68
11/1/2017,3rd Party Operations,102
11/1/2017,Weather & Environmental,215
11/1/2017,Transportation,63
10/1/2017,Weather & Environmental,152
10/1/2017,3rd Party Operations,57
10/1/2017,Capital Projects,39
10/1/2017,Customers,376
10/1/2017,Engineering (Scheduled),11
10/1/2017,Engineering (Unscheduled),171
10/1/2017,Maintenance of Equipment,152
10/1/2017,Other,117
10/1/2017,Police,131
10/1/2017,Special Events,35
10/1/2017,Transportation,33
9/1/2017,Transportation,55
9/1/2017,Special Events,122
9/1/2017,Police,164
9/1/2017,Other,55
9/1/2017,Maintenance of Equipment,154
9/1/2017,Engineering (Unscheduled),169
9/1/2017,Engineering (Scheduled),35
9/1/2017,Customers,389
9/1/2017,Capital Projects,31
9/1/2017,3rd Party Operations,103
9/1/2017,Weather & Environmental,14
8/1/2017,Weather & Environmental,18
8/1/2017,Capital Projects,8
8/1/2017,3rd Party Operations,115
8/1/2017,Customers,443
8/1/2017,Engineering (Scheduled),57
8/1/2017,Engineering (Unscheduled),158
8/1/2017,Maintenance of Equipment,134
8/1/2017,Other,131
8/1/2017,Police,114
8/1/2017,Special Events,131
8/1/2017,Transportation,31
7/1/2017,Transportation,139
7/1/2017,Special Events,146
7/1/2017,Police,90
7/1/2017,Other,116
7/1/2017,Maintenance of Equipment,144
7/1/2017,Engineering (Unscheduled),135
7/1/2017,Engineering (Scheduled),86
7/1/2017,Customers,376
7/1/2017,3rd Party Operations,196
7/1/2017,Capital Projects,8
7/1/2017,Weather & Environmental,20
6/1/2017,Weather & Environmental,44
6/1/2017,Capital Projects,34
6/1/2017,3rd Party Operations,547
6/1/2017,Customers,550
6/1/2017,Engineering (Scheduled),79
6/1/2017,Engineering (Unscheduled),242
6/1/2017,Maintenance of Equipment,142
6/1/2017,Other,242
6/1/2017,Police,185
6/1/2017,Special Events,169
6/1/2017,Transportation,65
5/1/2017,Transportation,55
5/1/2017,Special Events,126
5/1/2017,Police,219
5/1/2017,Other,147
5/1/2017,Maintenance of Equipment,166
5/1/2017,Engineering (Unscheduled),114
5/1/2017,Engineering (Scheduled),79
5/1/2017,Customers,401
5/1/2017,3rd Party Operations,787
5/1/2017,Capital Projects,93
5/1/2017,Weather & Environmental,161
4/1/2017,Weather & Environmental,28
4/1/2017,Capital Projects,174
4/1/2017,3rd Party Operations,842
4/1/2017,Customers,259
4/1/2017,Engineering (Scheduled),27
4/1/2017,Engineering (Unscheduled),136
4/1/2017,Maintenance of Equipment,126
4/1/2017,Other,57
4/1/2017,Police,147
4/1/2017,Special Events,78
4/1/2017,Transportation,85
3/1/2017,Transportation,37
3/1/2017,Special Events,34
3/1/2017,Police,128
3/1/2017,Other,138
3/1/2017,Maintenance of Equipment,171
3/1/2017,Engineering (Unscheduled),408
3/1/2017,Engineering (Scheduled),59
3/1/2017,Customers,320
3/1/2017,3rd Party Operations,290
3/1/2017,Capital Projects,35
3/1/2017,Weather & Environmental,315
2/1/2017,Weather & Environmental,760
2/1/2017,Capital Projects,2
2/1/2017,3rd Party Operations,90
2/1/2017,Customers,235
2/1/2017,Engineering (Scheduled),51
2/1/2017,Engineering (Unscheduled),360
2/1/2017,Maintenance of Equipment,224
2/1/2017,Other,40
2/1/2017,Police,78
2/1/2017,Special Events,11
2/1/2017,Transportation,196
1/1/2017,Transportation,47
1/1/2017,Weather & Environmental,351
1/1/2017,Special Events,7
1/1/2017,Police,261
1/1/2017,Maintenance of Equipment,215
1/1/2017,Other,117
1/1/2017,Engineering (Unscheduled),160
1/1/2017,Engineering (Scheduled),47
1/1/2017,3rd Party Operations,102
1/1/2017,Capital Projects,5
1/1/2017,Customers,277
12/1/2016,Weather & Environmental,226
12/1/2016,3rd Party Operations,272
12/1/2016,Capital Projects,16
12/1/2016,Customers,316
12/1/2016,Engineering (Scheduled),75
12/1/2016,Engineering (Unscheduled),308
12/1/2016,Maintenance of Equipment,114
12/1/2016,Other,126
12/1/2016,Police,269
12/1/2016,Special Events,81
12/1/2016,Transportation,16
11/1/2016,Transportation,17
11/1/2016,Special Events,55
11/1/2016,Police,181
11/1/2016,Other,251
11/1/2016,Maintenance of Equipment,116
11/1/2016,Engineering (Unscheduled),298
11/1/2016,Engineering (Scheduled),18
11/1/2016,Customers,360
11/1/2016,Capital Projects,28
11/1/2016,3rd Party Operations,98
11/1/2016,Weather & Environmental,219
10/1/2016,Weather & Environmental,74
10/1/2016,Capital Projects,49
10/1/2016,3rd Party Operations,53
10/1/2016,Customers,359
10/1/2016,Engineering (Scheduled),426
10/1/2016,Engineering (Unscheduled),188
10/1/2016,Maintenance of Equipment,111
10/1/2016,Other,185
10/1/2016,Police,105
10/1/2016,Special Events,64
10/1/2016,Transportation,22
9/1/2016,Transportation,33
9/1/2016,Special Events,114
9/1/2016,Police,171
9/1/2016,Other,103
9/1/2016,Maintenance of Equipment,160
9/1/2016,Engineering (Unscheduled),111
9/1/2016,Engineering (Scheduled),33
9/1/2016,Customers,314
9/1/2016,3rd Party Operations,70
9/1/2016,Capital Projects,10
9/1/2016,Weather & Environmental,35
8/1/2016,Weather & Environmental,32
8/1/2016,Capital Projects,41
8/1/2016,3rd Party Operations,140
8/1/2016,Customers,362
8/1/2016,Engineering (Scheduled),52
8/1/2016,Engineering (Unscheduled),167
8/1/2016,Maintenance of Equipment,144
8/1/2016,Other,215
8/1/2016,Police,286
8/1/2016,Special Events,150
8/1/2016,Transportation,136
7/1/2016,Transportation,88
7/1/2016,Special Events,161
7/1/2016,Police,338
7/1/2016,Other,308
7/1/2016,Maintenance of Equipment,110
7/1/2016,Engineering (Unscheduled),231
7/1/2016,Engineering (Scheduled),29
7/1/2016,Customers,456
7/1/2016,3rd Party Operations,231
7/1/2016,Capital Projects,80
7/1/2016,Weather & Environmental,210
6/1/2016,Weather & Environmental,17
6/1/2016,Capital Projects,23
6/1/2016,3rd Party Operations,239
6/1/2016,Customers,351
6/1/2016,Engineering (Scheduled),14
6/1/2016,Engineering (Unscheduled),149
6/1/2016,Maintenance of Equipment,100
6/1/2016,Other,195
6/1/2016,Police,128
6/1/2016,Special Events,112
6/1/2016,Transportation,20
5/1/2016,Transportation,25
5/1/2016,Special Events,133
5/1/2016,Police,109
5/1/2016,Other,125
5/1/2016,Maintenance of Equipment,80
5/1/2016,Engineering (Unscheduled),200
5/1/2016,Engineering (Scheduled),21
5/1/2016,Customers,269
5/1/2016,3rd Party Operations,63
5/1/2016,Capital Projects,67
5/1/2016,Weather & Environmental,11
4/1/2016,Capital Projects,125
4/1/2016,Customers,301
4/1/2016,3rd Party Operations,74
4/1/2016,Engineering (Scheduled),5
4/1/2016,Engineering (Unscheduled),116
4/1/2016,Maintenance of Equipment,69
4/1/2016,Other,125
4/1/2016,Police,157
4/1/2016,Special Events,71
4/1/2016,Transportation,12
4/1/2016,Weather & Environmental,62
3/1/2016,Weather & Environmental,24
3/1/2016,Transportation,28
3/1/2016,Special Events,31
3/1/2016,Police,157
3/1/2016,Other,162
3/1/2016,Maintenance of Equipment,120
3/1/2016,Engineering (Unscheduled),91
3/1/2016,Engineering (Scheduled),58
3/1/2016,3rd Party Operations,53
3/1/2016,Customers,275
3/1/2016,Capital Projects,15
2/1/2016,Capital Projects,12
2/1/2016,Customers,230
2/1/2016,3rd Party Operations,136
2/1/2016,Engineering (Scheduled),24
2/1/2016,Engineering (Unscheduled),174
2/1/2016,Maintenance of Equipment,303
2/1/2016,Other,151
2/1/2016,Police,72
2/1/2016,Special Events,6
2/1/2016,Transportation,69
2/1/2016,Weather & Environmental,330
1/1/2016,Weather & Environmental,880
1/1/2016,Special Events,14
1/1/2016,Transportation,20
1/1/2016,Police,106
1/1/2016,Other,80
1/1/2016,Engineering (Unscheduled),147
1/1/2016,Maintenance of Equipment,78
1/1/2016,Engineering (Scheduled),66
1/1/2016,3rd Party Operations,34
