remote_station_id,complex_id,station,line_name,division
R231,28.0,UNION ST,R,BMT
R232,33.0,45 ST,R,BMT
R233,34.0,53 ST,R,BMT
R234,61.0,50 ST,D,BMT
R235,120.0,BEDFORD AVE,L,BMT
R236,127.0,DEKALB AVE,L,BMT
R237,214.0,182-183 ST,BD,IND
R238,271.0,STEINWAY ST,MR,IND
R239,283.0,GREENPOINT AVE,G,IND
R240,231.0,GRAND ST,BD,IND
R241,241.0,15 ST-PROSPECT,FG,IND
R242,245.0,18 AVE,F,IND
R243,387.0,170 ST,4,IRT
R244,384.0,BURNSIDE AVE,4,IRT
R245,367.0,ST LAWRENCE AVE,6,IRT
R246,30.0,PROSPECT AVE,R,BMT
R247,62.0,55 ST,D,BMT
R248,119.0,1 AVE,L,BMT
R249,122.0,GRAHAM AVE,L,BMT
R250,123.0,GRAND ST,L,BMT
R251,157.0,96 ST,BC,IND
R252,173.0,HIGH ST,AC,IND
R253,216.0,174-175 ST,BD,IND
R254,265.0,GRAND AV-NEWTON,MR,IND
R255,258.0,VAN WYCK BLVD,EF,IND
R256,284.0,NASSAU AV,G,IND
R257,234.0,EAST BROADWAY,F,IND
R258,608.0,4 AVE,DFGMNR,IND
R259,222.0,ROOSEVELT IS,F,IND
R260,301.0,181 ST,1,IRT
R261,459.0,40 ST-LOWERY ST,7,IRT
R262,45.0,BEVERLEY ROAD,BQ,BMT
R263,48.0,AVE H,BQ,BMT
R264,56.0,OCEAN PARKWAY,Q,BMT
R265,124.0,MONTROSE AVE,L,BMT
R266,129.0,HALSEY ST,L,BMT
R267,270.0,46 ST,MR,IND
R268,629.0,METROPOLITAN AV,GL,IND
R269,289.0,BEDFORD/NOSTRAN,G,IND
R270,238.0,SMITH-9 ST,FG,IND
R271,252.0,AVE X,F,IND
R272,319.0,28 ST,1,IRT
R273,304.0,145 ST,1,IRT
R274,300.0,191 ST,1,IRT
R275,383.0,183 ST,4,IRT
R276,464.0,VERNON/JACKSON,7,IRT
R277,353.0,PRESIDENT ST,25,IRT
R278,31.0,25 ST,R,BMT
R279,126.0,JEFFERSON ST,L,BMT
R280,145.0,190 ST,A,IND
R281,160.0,72 ST,BC,IND
R282,168.0,SPRING ST,CE,IND
R283,176.0,LAFAYETTE AVE,C,IND
