,division,line,station_name,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,route11,allroutes
990,BMT,Brighton,Beverly Rd,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
991,IND,8 Avenue,96th St,B,C,X,X,X,X,X,X,X,X,X,"B,C"
994,IND,Fulton,Clinton & Washington Avs,C,X,X,X,X,X,X,X,X,X,X,C
999,IND,63rd Street,Lexington Av,F,X,X,X,X,X,X,X,X,X,X,F
1004,IND,Crosstown,Clinton-Washington Avs,G,X,X,X,X,X,X,X,X,X,X,G
1012,IRT,Broadway-7th Ave,Cathedral Parkway-110th St,1,X,X,X,X,X,X,X,X,X,X,1
1015,BMT,Broadway,Lexington Av,N,Q,R,4,5,6,X,X,X,X,X,"N,Q,R,4,5,6"
1019,IRT,Lexington,59th St,N,Q,R,4,5,6,X,X,X,X,X,"N,Q,R,4,5,6"
1026,IRT,Broadway-7th Ave,103rd St,1,X,X,X,X,X,X,X,X,X,X,1
1031,BMT,Brighton,Ocean Parkway,Q,X,X,X,X,X,X,X,X,X,X,Q
1037,IND,8 Avenue,86th St,B,C,X,X,X,X,X,X,X,X,X,"B,C"
1042,IND,Queens Boulevard,Lexington Av-53rd St,E,M,6,X,X,X,X,X,X,X,X,"E,M,6"
1049,IRT,Eastern Parkway,Grand Army Plaza,2,3,X,X,X,X,X,X,X,X,X,"2,3"
1053,IRT,Lexington,51st St,E,M,6,X,X,X,X,X,X,X,X,"E,M,6"
1062,IND,8 Avenue,81st St - Museum of Natural History,B,C,X,X,X,X,X,X,X,X,X,"B,C"
1066,IRT,Broadway-7th Ave,96th St,1,2,3,X,X,X,X,X,X,X,X,"1,2,3"
1072,IND,Culver,Kings Highway,F,X,X,X,X,X,X,X,X,X,X,F
1076,BMT,Brighton,7th Av,B,Q,X,X,X,X,X,X,X,X,X,"B,Q"
1078,IND,Culver,Av P,F,X,X,X,X,X,X,X,X,X,X,F
1080,BMT,Broadway,5th Av,N,Q,R,X,X,X,X,X,X,X,X,"N,Q,R"
1087,IND,Culver,Av U,F,X,X,X,X,X,X,X,X,X,X,F
1091,IND,Fulton,Lafayette Av,C,X,X,X,X,X,X,X,X,X,X,C
1100,IND,Culver,Av N,F,X,X,X,X,X,X,X,X,X,X,F
1104,IND,Culver,Av X,F,X,X,X,X,X,X,X,X,X,X,F
